시도,시군구,고혈압,울혈성심부전,협심증,당뇨 급성 합병증,당뇨 만성 합병증,성인 천식,만성 폐쇄성 폐질환,세균성 폐렴,요로 감염증,충수 돌기,소아 천식,소아 위장 관염,소아 세균성 폐렴,소아 요로 감염,소아 천공성 충수염
충청북도,증평군,25.6,6.8,6.4,0.2,6.5,1.8,12.8,4.1,9.8,1.2,36.7,38.9,3.2,11.9,0
전라남도,진도군,39,6.8,6.4,0.3,11.6,4.1,23.1,6.9,8.1,1.3,68,40.4,9.2,3.9,0
전라북도,진안군,25,3.7,4.5,0.2,6.5,2.1,17,4.2,5.8,1.2,13.7,36.4,4.2,3.9,0
경상남도,진주시,26.2,6.2,5.1,0.2,8.3,2.3,14.5,3.1,10.4,1.4,62.7,64.2,8.9,15.2,0
충청북도,진천군,30.2,7.2,6.8,0.2,7.8,2.3,14.1,3,8.8,1.3,29.5,33.8,3.9,8.7,0
경상남도,창녕군,34.7,7.3,7.3,0.3,9.1,3.6,25.5,5.5,7.3,1.5,58.4,56.6,10.7,9.2,0.1
경상남도,창원시 마산합포구,27.5,3.9,5.2,0.2,7.2,1.7,14.7,5.3,7.3,1.8,85.7,57.8,8,6.6,0.2
경상남도,창원시 마산회원구,29.2,5.5,5.7,0.2,7.3,2.2,14.6,7.1,7,1.6,71.3,43.8,7.5,6.2,0
경상남도,창원시 성산구,28.1,6.1,5.9,0.3,6.8,1.5,12,4.7,6.5,1.2,26.2,23.3,2.3,10.8,0.1
경상남도,창원시 의창구,29.5,5.6,6.1,0.2,7.5,1.9,14.2,4.8,6.2,1.3,27.5,22.4,3.9,6.2,0.1
경상남도,창원시 진해구,29.9,7,8.2,0.2,7.6,2.8,23.8,6.6,7.3,1.2,63.8,47.1,21.2,5.2,0.1
충청남도,천안시동남구,23.6,6.6,7.5,0.3,7.1,2.3,8.2,2.4,6.1,1.4,18.5,25.4,5.5,4.7,0.1
충청남도,천안시서북구,24.2,7.5,8,0.2,5.8,2.3,9.7,2.6,6,1.4,18.1,26.3,7.1,7.2,0.1
강원도,철원군,30.6,5.5,8.6,0.5,10.7,3,10.6,3.3,7.7,1.7,16.9,38.8,3.5,3.5,0.2
경상북도,청도군,30.9,4.3,4.6,0.2,8.1,2.5,18.2,2,7.5,1.3,46,35.2,3.8,1.8,0
경상북도,청송군,28.4,4.8,5.5,0.1,7.2,2.2,14.8,2.9,4.3,1.9,31.4,48.6,4.8,2.9,0
충청남도,청양군,25.7,4.2,5.5,0.3,7.5,2.1,10.4,3,6.1,1.8,18.2,29.7,6,7.1,0
충청북도,청주시 상당구,23.3,6.4,6,0.2,6.5,1.3,8.5,2.9,7.1,1.2,25.2,33.5,2.6,11.2,0
충청북도,청주시 서원구,24.7,6.7,6.7,0.2,6.5,1.4,7.7,3.3,9.3,1.8,22.3,33.6,8,15.7,0.1
충청북도,청주시 청원구,24.3,5.5,6.3,0.2,6.1,1.7,8,2.9,7.3,1.5,44.6,51.9,8.5,9.6,0
충청북도,청주시 흥덕구,24.8,6.5,7.1,0.2,7.1,1.8,7.6,3.8,9,1.7,20.9,33.6,10.7,14.2,0.2
강원도,춘천시,23.1,6.4,11.6,0.2,9.9,2.8,8.6,1.7,7.2,1.6,8.6,30.9,0.6,6,0
